"Date Printed: Tuesday, January 21, 2025 6:10:45 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | 2023 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Palau | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 15-19 | 20-24 | 25-29 | 30-34 | 35-39 | 40-44 | 45-54 | 55-64 | 65+""""",,,,,,,,,
Footnote(s): ,,,,,,,,,
   NA - Not Applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Gonorrhea,2023,California,6,20-24,All races/ethnicities,Female,"5,116",416.3,"1,228,809"
Gonorrhea,2023,California,6,15-19,All races/ethnicities,Female,"2,733",214.5,"1,273,942"
Gonorrhea,2023,California,6,65+,All races/ethnicities,Male,584,20.5,"2,854,013"
Gonorrhea,2023,California,6,55-64,All races/ethnicities,Male,"2,519",108.7,"2,318,062"
Gonorrhea,2023,California,6,45-54,All races/ethnicities,Male,"4,724",194,"2,434,608"
Gonorrhea,2023,California,6,40-44,All races/ethnicities,Male,"4,886",361.9,"1,350,234"
Gonorrhea,2023,California,6,35-39,All races/ethnicities,Male,"7,821",542.3,"1,442,186"
Gonorrhea,2023,California,6,30-34,All races/ethnicities,Male,"11,546",756.6,"1,525,991"
Gonorrhea,2023,California,6,25-29,All races/ethnicities,Male,"10,767",783.7,"1,373,878"
Gonorrhea,2023,California,6,20-24,All races/ethnicities,Male,"8,357",645.8,"1,294,089"
Gonorrhea,2023,California,6,15-19,All races/ethnicities,Male,"2,499",187.3,"1,334,497"
Chlamydia,2023,Colorado,8,65+,All races/ethnicities,Female,17,3.4,"506,084"
Chlamydia,2023,Colorado,8,55-64,All races/ethnicities,Female,71,20.8,"341,432"
Chlamydia,2023,Colorado,8,45-54,All races/ethnicities,Female,328,94.7,"346,396"
Chlamydia,2023,Colorado,8,40-44,All races/ethnicities,Female,418,208.8,"200,178"
Chlamydia,2023,Colorado,8,35-39,All races/ethnicities,Female,799,374.3,"213,490"
Chlamydia,2023,Colorado,8,30-34,All races/ethnicities,Female,"1,483",648.6,"228,637"
Chlamydia,2023,Colorado,8,25-29,All races/ethnicities,Female,"2,829",1325.1,"213,491"
Chlamydia,2023,Colorado,8,20-24,All races/ethnicities,Female,"5,656",3055.3,"185,120"
Chlamydia,2023,Colorado,8,15-19,All races/ethnicities,Female,"4,018",2194.1,"183,130"
Chlamydia,2023,Colorado,8,65+,All races/ethnicities,Male,54,12.4,"436,931"
Chlamydia,2023,Colorado,8,55-64,All races/ethnicities,Male,231,68.9,"335,193"
Chlamydia,2023,Colorado,8,45-54,All races/ethnicities,Male,492,133.7,"367,871"
Chlamydia,2023,Colorado,8,40-44,All races/ethnicities,Male,564,261.6,"215,576"
Chlamydia,2023,Colorado,8,35-39,All races/ethnicities,Male,934,397.2,"235,142"
Chlamydia,2023,Colorado,8,30-34,All races/ethnicities,Male,"1,479",591.1,"250,191"
Chlamydia,2023,Colorado,8,25-29,All races/ethnicities,Male,"2,063",890.1,"231,784"
Chlamydia,2023,Colorado,8,20-24,All races/ethnicities,Male,"2,690",1335.1,"201,485"
Chlamydia,2023,Colorado,8,15-19,All races/ethnicities,Male,"1,288",658.8,"195,521"
Gonorrhea,2023,Colorado,8,65+,All races/ethnicities,Female,3,0.6,"506,084"
Gonorrhea,2023,Colorado,8,55-64,All races/ethnicities,Female,31,9.1,"341,432"
Gonorrhea,2023,Colorado,8,45-54,All races/ethnicities,Female,143,41.3,"346,396"
Gonorrhea,2023,Colorado,8,40-44,All races/ethnicities,Female,163,81.4,"200,178"
Gonorrhea,2023,Colorado,8,35-39,All races/ethnicities,Female,276,129.3,"213,490"
Gonorrhea,2023,Colorado,8,30-34,All races/ethnicities,Female,407,178,"228,637"
Gonorrhea,2023,Colorado,8,25-29,All races/ethnicities,Female,461,215.9,"213,491"
Gonorrhea,2023,Colorado,8,20-24,All races/ethnicities,Female,557,300.9,"185,120"
Gonorrhea,2023,Colorado,8,15-19,All races/ethnicities,Female,430,234.8,"183,130"
Gonorrhea,2023,Colorado,8,65+,All races/ethnicities,Male,57,13,"436,931"
Gonorrhea,2023,Colorado,8,55-64,All races/ethnicities,Male,186,55.5,"335,193"
Gonorrhea,2023,Colorado,8,45-54,All races/ethnicities,Male,373,101.4,"367,871"
Gonorrhea,2023,Colorado,8,40-44,All races/ethnicities,Male,432,200.4,"215,576"
Gonorrhea,2023,Colorado,8,35-39,All races/ethnicities,Male,739,314.3,"235,142"
Gonorrhea,2023,Colorado,8,30-34,All races/ethnicities,Male,"1,047",418.5,"250,191"
Gonorrhea,2023,Colorado,8,25-29,All races/ethnicities,Male,"1,045",450.9,"231,784"
Gonorrhea,2023,Colorado,8,20-24,All races/ethnicities,Male,861,427.3,"201,485"
Gonorrhea,2023,Colorado,8,15-19,All races/ethnicities,Male,324,165.7,"195,521"
Chlamydia,2023,Connecticut,9,65+,All races/ethnicities,Female,12,3.1,"381,269"
Chlamydia,2023,Connecticut,9,55-64,All races/ethnicities,Female,42,16.1,"260,500"
Chlamydia,2023,Connecticut,9,45-54,All races/ethnicities,Female,144,63.5,"226,690"
Chlamydia,2023,Connecticut,9,40-44,All races/ethnicities,Female,197,170.2,"115,751"
