"Date Printed: Tuesday, November 14, 2023 1:25:46 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+""""",,,,,,,,,
Footnote(s): Data for 2022 and 2023 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,
The 'Sex' column is used for either sex at birth or gender identity.,,,,,,,,,
NA - Not applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
HIV diagnoses,2018,Alabama,01,45-54,All races/ethnicities,Female,25,7.7,"323,074"
HIV diagnoses,2018,Alabama,01,35-44,All races/ethnicities,Female,32,10.5,"305,411"
HIV diagnoses,2018,Alabama,01,25-34,All races/ethnicities,Female,28,8.6,"326,720"
HIV diagnoses,2018,Alabama,01,13-24,All races/ethnicities,Female,20,5.3,"378,236"
HIV diagnoses,2018,Alabama,01,55+,All races/ethnicities,Male,33,4.9,"672,425"
HIV diagnoses,2018,Alabama,01,45-54,All races/ethnicities,Male,52,17.1,"304,166"
HIV diagnoses,2018,Alabama,01,35-44,All races/ethnicities,Male,59,20.6,"286,518"
HIV diagnoses,2018,Alabama,01,25-34,All races/ethnicities,Male,179,56.3,"317,867"
HIV diagnoses,2018,Alabama,01,13-24,All races/ethnicities,Male,165,42.7,"386,426"
Gonorrhea,2021,Alaska,02,55+,All races/ethnicities,Female,13,14.1,"91,971"
Gonorrhea,2021,Alaska,02,45-54,All races/ethnicities,Female,48,122.6,"39,164"
Gonorrhea,2021,Alaska,02,35-44,All races/ethnicities,Female,149,310.3,"48,018"
Gonorrhea,2021,Alaska,02,25-34,All races/ethnicities,Female,389,730.8,"53,229"
Gonorrhea,2021,Alaska,02,13-24,All races/ethnicities,Female,Data suppressed,Data suppressed,"52,759"
Gonorrhea,2021,Alaska,02,55+,All races/ethnicities,Male,50,52,"96,068"
Gonorrhea,2021,Alaska,02,45-54,All races/ethnicities,Male,76,172.7,"43,999"
Gonorrhea,2021,Alaska,02,35-44,All races/ethnicities,Male,266,495.9,"53,639"
Gonorrhea,2021,Alaska,02,25-34,All races/ethnicities,Male,404,669.7,"60,325"
Gonorrhea,2021,Alaska,02,13-24,All races/ethnicities,Male,Data suppressed,Data suppressed,"63,374"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,55+,All races/ethnicities,Female,13,14.3,"91,001"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,45-54,All races/ethnicities,Female,42,105.5,"39,823"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,35-44,All races/ethnicities,Female,148,314.7,"47,029"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,25-34,All races/ethnicities,Female,359,667.4,"53,792"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,13-24,All races/ethnicities,Female,Data suppressed,Data suppressed,"52,715"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,55+,All races/ethnicities,Male,51,53.5,"95,312"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,45-54,All races/ethnicities,Male,65,145.7,"44,621"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,35-44,All races/ethnicities,Male,200,383,"52,216"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,25-34,All races/ethnicities,Male,377,619.9,"60,814"
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,02,13-24,All races/ethnicities,Male,Data suppressed,Data suppressed,"62,998"
Gonorrhea,2019,Alaska,02,55+,All races/ethnicities,Female,13,14.2,"91,408"
Gonorrhea,2019,Alaska,02,45-54,All races/ethnicities,Female,58,142.7,"40,632"
Gonorrhea,2019,Alaska,02,35-44,All races/ethnicities,Female,186,406.1,"45,800"
Gonorrhea,2019,Alaska,02,25-34,All races/ethnicities,Female,483,876.9,"55,083"
Gonorrhea,2019,Alaska,02,13-24,All races/ethnicities,Female,Data suppressed,Data suppressed,"52,768"
Gonorrhea,2019,Alaska,02,55+,All races/ethnicities,Male,61,65.2,"93,519"
Gonorrhea,2019,Alaska,02,45-54,All races/ethnicities,Male,114,256.2,"44,498"
Gonorrhea,2019,Alaska,02,35-44,All races/ethnicities,Male,224,448.3,"49,965"
Gonorrhea,2019,Alaska,02,25-34,All races/ethnicities,Male,414,662.3,"62,505"
Gonorrhea,2019,Alaska,02,13-24,All races/ethnicities,Male,Data suppressed,Data suppressed,"62,812"
Gonorrhea,2018,Alaska,02,55+,All races/ethnicities,Female,10,11.2,"89,650"
Gonorrhea,2018,Alaska,02,45-54,All races/ethnicities,Female,40,95.4,"41,939"
Gonorrhea,2018,Alaska,02,35-44,All races/ethnicities,Female,155,343.2,"45,162"
Gonorrhea,2018,Alaska,02,25-34,All races/ethnicities,Female,441,793,"55,611"
Gonorrhea,2018,Alaska,02,13-24,All races/ethnicities,Female,408,756.3,"53,950"
Gonorrhea,2018,Alaska,02,55+,All races/ethnicities,Male,58,63.1,"91,939"
Gonorrhea,2018,Alaska,02,45-54,All races/ethnicities,Male,96,209.2,"45,887"
Gonorrhea,2018,Alaska,02,35-44,All races/ethnicities,Male,246,499.3,"49,270"
Gonorrhea,2018,Alaska,02,25-34,All races/ethnicities,Male,491,777.7,"63,131"
Gonorrhea,2018,Alaska,02,13-24,All races/ethnicities,Male,298,465.1,"64,078"
Chlamydia,2021,Alaska,02,55+,All races/ethnicities,Female,30,32.6,"91,971"
Chlamydia,2021,Alaska,02,45-54,All races/ethnicities,Female,96,245.1,"39,164"
Chlamydia,2021,Alaska,02,35-44,All races/ethnicities,Female,371,772.6,"48,018"
Chlamydia,2021,Alaska,02,25-34,All races/ethnicities,Female,"1,109",2083.5,"53,229"
Chlamydia,2021,Alaska,02,13-24,All races/ethnicities,Female,"2,106",3991.7,"52,759"
Chlamydia,2021,Alaska,02,55+,All races/ethnicities,Male,48,50,"96,068"
Chlamydia,2021,Alaska,02,45-54,All races/ethnicities,Male,95,215.9,"43,999"
Chlamydia,2021,Alaska,02,35-44,All races/ethnicities,Male,259,482.9,"53,639"
Chlamydia,2021,Alaska,02,25-34,All races/ethnicities,Male,655,1085.8,"60,325"
Chlamydia,2021,Alaska,02,13-24,All races/ethnicities,Male,796,1256,"63,374"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,55+,All races/ethnicities,Female,27,29.7,"91,001"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,45-54,All races/ethnicities,Female,77,193.4,"39,823"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,35-44,All races/ethnicities,Female,280,595.4,"47,029"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,25-34,All races/ethnicities,Female,"1,039",1931.5,"53,792"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,13-24,All races/ethnicities,Female,"1,953",3704.8,"52,715"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,55+,All races/ethnicities,Male,33,34.6,"95,312"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,45-54,All races/ethnicities,Male,74,165.8,"44,621"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,35-44,All races/ethnicities,Male,205,392.6,"52,216"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,25-34,All races/ethnicities,Male,594,976.7,"60,814"
Chlamydia,2020 (COVID-19 Pandemic),Alaska,02,13-24,All races/ethnicities,Male,806,1279.4,"62,998"
Chlamydia,2019,Alaska,02,55+,All races/ethnicities,Female,18,19.7,"91,408"
Chlamydia,2019,Alaska,02,45-54,All races/ethnicities,Female,90,221.5,"40,632"
Chlamydia,2019,Alaska,02,35-44,All races/ethnicities,Female,347,757.6,"45,800"
Chlamydia,2019,Alaska,02,25-34,All races/ethnicities,Female,"1,278",2320.1,"55,083"
Chlamydia,2019,Alaska,02,13-24,All races/ethnicities,Female,"2,275",4311.3,"52,768"
Chlamydia,2019,Alaska,02,55+,All races/ethnicities,Male,43,46,"93,519"
Chlamydia,2019,Alaska,02,45-54,All races/ethnicities,Male,107,240.5,"44,498"
Chlamydia,2019,Alaska,02,35-44,All races/ethnicities,Male,275,550.4,"49,965"
Chlamydia,2019,Alaska,02,25-34,All races/ethnicities,Male,749,1198.3,"62,505"
Chlamydia,2019,Alaska,02,13-24,All races/ethnicities,Male,"1,065",1695.5,"62,812"
Chlamydia,2018,Alaska,02,55+,All races/ethnicities,Female,25,27.9,"89,650"
Chlamydia,2018,Alaska,02,45-54,All races/ethnicities,Female,69,164.5,"41,939"
Chlamydia,2018,Alaska,02,35-44,All races/ethnicities,Female,331,732.9,"45,162"
Chlamydia,2018,Alaska,02,25-34,All races/ethnicities,Female,"1,198",2154.3,"55,611"
Chlamydia,2018,Alaska,02,13-24,All races/ethnicities,Female,"2,338",4333.6,"53,950"
Chlamydia,2018,Alaska,02,55+,All races/ethnicities,Male,49,53.3,"91,939"
Chlamydia,2018,Alaska,02,45-54,All races/ethnicities,Male,84,183.1,"45,887"
Chlamydia,2018,Alaska,02,35-44,All races/ethnicities,Male,255,517.6,"49,270"
Chlamydia,2018,Alaska,02,25-34,All races/ethnicities,Male,758,1200.7,"63,131"
Chlamydia,2018,Alaska,02,13-24,All races/ethnicities,Male,"1,043",1627.7,"64,078"
HIV diagnoses,2021,Alaska,02,55+,All races/ethnicities,Female,0,0,"91,971"
HIV diagnoses,2021,Alaska,02,45-54,All races/ethnicities,Female,1,2.6,"39,164"
HIV diagnoses,2021,Alaska,02,35-44,All races/ethnicities,Female,2,4.2,"48,018"
HIV diagnoses,2021,Alaska,02,25-34,All races/ethnicities,Female,2,3.8,"53,229"
HIV diagnoses,2021,Alaska,02,13-24,All races/ethnicities,Female,0,0,"52,759"
HIV diagnoses,2021,Alaska,02,55+,All races/ethnicities,Male,3,3.1,"96,068"
HIV diagnoses,2021,Alaska,02,45-54,All races/ethnicities,Male,4,9.1,"43,999"
HIV diagnoses,2021,Alaska,02,35-44,All races/ethnicities,Male,4,7.5,"53,639"
HIV diagnoses,2021,Alaska,02,25-34,All races/ethnicities,Male,9,14.9,"60,325"
HIV diagnoses,2021,Alaska,02,13-24,All races/ethnicities,Male,5,7.9,"63,374"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,55+,All races/ethnicities,Female,0,0,"91,001"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,45-54,All races/ethnicities,Female,1,2.5,"39,823"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,35-44,All races/ethnicities,Female,1,2.1,"47,029"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,25-34,All races/ethnicities,Female,1,1.9,"53,792"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,13-24,All races/ethnicities,Female,1,1.9,"52,715"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,55+,All races/ethnicities,Male,3,3.1,"95,312"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,45-54,All races/ethnicities,Male,0,0,"44,621"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,35-44,All races/ethnicities,Male,8,15.3,"52,216"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,25-34,All races/ethnicities,Male,9,14.8,"60,814"
HIV diagnoses,2020 (COVID-19 Pandemic),Alaska,02,13-24,All races/ethnicities,Male,5,7.9,"62,998"
HIV diagnoses,2019,Alaska,02,55+,All races/ethnicities,Female,2,2.2,"91,404"
HIV diagnoses,2019,Alaska,02,45-54,All races/ethnicities,Female,1,2.5,"40,739"
HIV diagnoses,2019,Alaska,02,35-44,All races/ethnicities,Female,1,2.2,"45,966"
HIV diagnoses,2019,Alaska,02,25-34,All races/ethnicities,Female,2,3.6,"55,317"
HIV diagnoses,2019,Alaska,02,13-24,All races/ethnicities,Female,1,1.9,"52,707"
HIV diagnoses,2019,Alaska,02,55+,All races/ethnicities,Male,1,1.1,"93,673"
HIV diagnoses,2019,Alaska,02,45-54,All races/ethnicities,Male,0,0,"44,583"
HIV diagnoses,2019,Alaska,02,35-44,All races/ethnicities,Male,3,6,"50,214"
