"Date Printed: Tuesday, November 14, 2023 1:25:46 PM",,,,,,,,,
"Title: ""Chlamydia | Gonorrhea | HIV diagnoses | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+""""",,,,,,,,,
Footnote(s): Data for 2022 and 2023 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,
The 'Sex' column is used for either sex at birth or gender identity.,,,,,,,,,
NA - Not applicable.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
Gonorrhea,2020 (COVID-19 Pandemic),New Mexico,35,13-24,All races/ethnicities,Female,725,437.6,"165,687"
Gonorrhea,2020 (COVID-19 Pandemic),New Mexico,35,55+,All races/ethnicities,Male,120,39,"307,942"
Gonorrhea,2020 (COVID-19 Pandemic),New Mexico,35,45-54,All races/ethnicities,Male,198,168,"117,867"
Gonorrhea,2020 (COVID-19 Pandemic),New Mexico,35,35-44,All races/ethnicities,Male,560,415.7,"134,723"
Gonorrhea,2020 (COVID-19 Pandemic),New Mexico,35,25-34,All races/ethnicities,Male,997,683.2,"145,928"
Gonorrhea,2020 (COVID-19 Pandemic),New Mexico,35,13-24,All races/ethnicities,Male,678,386.4,"175,462"
Gonorrhea,2019,New Mexico,35,55+,All races/ethnicities,Female,27,7.8,"348,079"
Gonorrhea,2019,New Mexico,35,45-54,All races/ethnicities,Female,81,67.6,"119,903"
Gonorrhea,2019,New Mexico,35,35-44,All races/ethnicities,Female,392,310.2,"126,368"
Gonorrhea,2019,New Mexico,35,25-34,All races/ethnicities,Female,851,620.8,"137,071"
Gonorrhea,2019,New Mexico,35,13-24,All races/ethnicities,Female,821,504.9,"162,611"
Gonorrhea,2019,New Mexico,35,55+,All races/ethnicities,Male,134,44.3,"302,448"
Gonorrhea,2019,New Mexico,35,45-54,All races/ethnicities,Male,214,184.9,"115,753"
Gonorrhea,2019,New Mexico,35,35-44,All races/ethnicities,Male,539,419.5,"128,478"
Gonorrhea,2019,New Mexico,35,25-34,All races/ethnicities,Male,"1,071",728.5,"147,016"
Gonorrhea,2019,New Mexico,35,13-24,All races/ethnicities,Male,744,433.7,"171,534"
Gonorrhea,2018,New Mexico,35,55+,All races/ethnicities,Female,25,7.3,"341,747"
Gonorrhea,2018,New Mexico,35,45-54,All races/ethnicities,Female,85,69.3,"122,603"
Gonorrhea,2018,New Mexico,35,35-44,All races/ethnicities,Female,379,304.4,"124,511"
Gonorrhea,2018,New Mexico,35,25-34,All races/ethnicities,Female,915,667.5,"137,072"
Gonorrhea,2018,New Mexico,35,13-24,All races/ethnicities,Female,934,572.6,"163,114"
Gonorrhea,2018,New Mexico,35,55+,All races/ethnicities,Male,129,43.4,"297,270"
Gonorrhea,2018,New Mexico,35,45-54,All races/ethnicities,Male,199,168.7,"117,950"
Gonorrhea,2018,New Mexico,35,35-44,All races/ethnicities,Male,536,424.6,"126,236"
Gonorrhea,2018,New Mexico,35,25-34,All races/ethnicities,Male,"1,164",794.9,"146,425"
Gonorrhea,2018,New Mexico,35,13-24,All races/ethnicities,Male,897,519.5,"172,667"
Chlamydia,2021,New Mexico,35,55+,All races/ethnicities,Female,40,11.4,"350,407"
Chlamydia,2021,New Mexico,35,45-54,All races/ethnicities,Female,159,134.3,"118,374"
Chlamydia,2021,New Mexico,35,35-44,All races/ethnicities,Female,653,497.2,"131,329"
Chlamydia,2021,New Mexico,35,25-34,All races/ethnicities,Female,"2,418",1778.1,"135,985"
Chlamydia,2021,New Mexico,35,13-24,All races/ethnicities,Female,"5,220",3139.4,"166,276"
Chlamydia,2021,New Mexico,35,55+,All races/ethnicities,Male,95,30.6,"310,533"
Chlamydia,2021,New Mexico,35,45-54,All races/ethnicities,Male,185,158.1,"117,049"
Chlamydia,2021,New Mexico,35,35-44,All races/ethnicities,Male,535,390.4,"137,025"
Chlamydia,2021,New Mexico,35,25-34,All races/ethnicities,Male,"1,376",949,"145,001"
Chlamydia,2021,New Mexico,35,13-24,All races/ethnicities,Male,"1,748",994.3,"175,794"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,55+,All races/ethnicities,Female,31,8.9,"347,077"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,45-54,All races/ethnicities,Female,128,107.3,"119,289"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,35-44,All races/ethnicities,Female,627,483.7,"129,616"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,25-34,All races/ethnicities,Female,"2,186",1599.8,"136,641"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,13-24,All races/ethnicities,Female,"5,401",3259.8,"165,687"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,55+,All races/ethnicities,Male,70,22.7,"307,942"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,45-54,All races/ethnicities,Male,130,110.3,"117,867"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,35-44,All races/ethnicities,Male,459,340.7,"134,723"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,25-34,All races/ethnicities,Male,"1,225",839.5,"145,928"
Chlamydia,2020 (COVID-19 Pandemic),New Mexico,35,13-24,All races/ethnicities,Male,"1,816",1035,"175,462"
Chlamydia,2019,New Mexico,35,55+,All races/ethnicities,Female,45,12.9,"348,079"
Chlamydia,2019,New Mexico,35,45-54,All races/ethnicities,Female,146,121.8,"119,903"
Chlamydia,2019,New Mexico,35,35-44,All races/ethnicities,Female,720,569.8,"126,368"
Chlamydia,2019,New Mexico,35,25-34,All races/ethnicities,Female,"2,635",1922.4,"137,071"
Chlamydia,2019,New Mexico,35,13-24,All races/ethnicities,Female,"6,341",3899.5,"162,611"
Chlamydia,2019,New Mexico,35,55+,All races/ethnicities,Male,94,31.1,"302,448"
Chlamydia,2019,New Mexico,35,45-54,All races/ethnicities,Male,162,140,"115,753"
Chlamydia,2019,New Mexico,35,35-44,All races/ethnicities,Male,499,388.4,"128,478"
Chlamydia,2019,New Mexico,35,25-34,All races/ethnicities,Male,"1,485",1010.1,"147,016"
Chlamydia,2019,New Mexico,35,13-24,All races/ethnicities,Male,"2,137",1245.8,"171,534"
Chlamydia,2018,New Mexico,35,55+,All races/ethnicities,Female,48,14,"341,747"
Chlamydia,2018,New Mexico,35,45-54,All races/ethnicities,Female,136,110.9,"122,603"
Chlamydia,2018,New Mexico,35,35-44,All races/ethnicities,Female,723,580.7,"124,511"
Chlamydia,2018,New Mexico,35,25-34,All races/ethnicities,Female,"2,606",1901.2,"137,072"
Chlamydia,2018,New Mexico,35,13-24,All races/ethnicities,Female,"6,168",3781.4,"163,114"
Chlamydia,2018,New Mexico,35,55+,All races/ethnicities,Male,81,27.2,"297,270"
Chlamydia,2018,New Mexico,35,45-54,All races/ethnicities,Male,151,128,"117,950"
Chlamydia,2018,New Mexico,35,35-44,All races/ethnicities,Male,473,374.7,"126,236"
Chlamydia,2018,New Mexico,35,25-34,All races/ethnicities,Male,"1,450",990.3,"146,425"
Chlamydia,2018,New Mexico,35,13-24,All races/ethnicities,Male,"2,158",1249.8,"172,667"
HIV diagnoses,2021,New Mexico,35,55+,All races/ethnicities,Female,6,1.7,"350,407"
HIV diagnoses,2021,New Mexico,35,45-54,All races/ethnicities,Female,5,4.2,"118,374"
HIV diagnoses,2021,New Mexico,35,35-44,All races/ethnicities,Female,1,0.8,"131,329"
HIV diagnoses,2021,New Mexico,35,25-34,All races/ethnicities,Female,6,4.4,"135,985"
HIV diagnoses,2021,New Mexico,35,13-24,All races/ethnicities,Female,2,1.2,"166,276"
HIV diagnoses,2021,New Mexico,35,55+,All races/ethnicities,Male,12,3.9,"310,533"
HIV diagnoses,2021,New Mexico,35,45-54,All races/ethnicities,Male,16,13.7,"117,049"
HIV diagnoses,2021,New Mexico,35,35-44,All races/ethnicities,Male,30,21.9,"137,025"
HIV diagnoses,2021,New Mexico,35,25-34,All races/ethnicities,Male,42,29,"145,001"
HIV diagnoses,2021,New Mexico,35,13-24,All races/ethnicities,Male,29,16.5,"175,794"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,55+,All races/ethnicities,Female,0,0,"347,077"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,45-54,All races/ethnicities,Female,6,5,"119,289"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,35-44,All races/ethnicities,Female,4,3.1,"129,616"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,25-34,All races/ethnicities,Female,2,1.5,"136,641"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,13-24,All races/ethnicities,Female,1,0.6,"165,687"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,55+,All races/ethnicities,Male,10,3.2,"307,942"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,45-54,All races/ethnicities,Male,9,7.6,"117,867"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,35-44,All races/ethnicities,Male,24,17.8,"134,723"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,25-34,All races/ethnicities,Male,49,33.6,"145,928"
HIV diagnoses,2020 (COVID-19 Pandemic),New Mexico,35,13-24,All races/ethnicities,Male,24,13.7,"175,462"
HIV diagnoses,2019,New Mexico,35,55+,All races/ethnicities,Female,2,0.6,"348,079"
HIV diagnoses,2019,New Mexico,35,45-54,All races/ethnicities,Female,6,5,"119,925"
HIV diagnoses,2019,New Mexico,35,35-44,All races/ethnicities,Female,9,7.1,"126,370"
HIV diagnoses,2019,New Mexico,35,25-34,All races/ethnicities,Female,8,5.8,"137,361"
HIV diagnoses,2019,New Mexico,35,13-24,All races/ethnicities,Female,0,0,"162,937"
HIV diagnoses,2019,New Mexico,35,55+,All races/ethnicities,Male,15,5,"302,198"
HIV diagnoses,2019,New Mexico,35,45-54,All races/ethnicities,Male,20,17.3,"115,540"
HIV diagnoses,2019,New Mexico,35,35-44,All races/ethnicities,Male,26,20.2,"128,829"
HIV diagnoses,2019,New Mexico,35,25-34,All races/ethnicities,Male,60,40.7,"147,515"
HIV diagnoses,2019,New Mexico,35,13-24,All races/ethnicities,Male,30,17.4,"172,596"
HIV diagnoses,2018,New Mexico,35,55+,All races/ethnicities,Female,4,1.2,"341,748"
HIV diagnoses,2018,New Mexico,35,45-54,All races/ethnicities,Female,3,2.4,"122,585"
HIV diagnoses,2018,New Mexico,35,35-44,All races/ethnicities,Female,8,6.4,"124,401"
HIV diagnoses,2018,New Mexico,35,25-34,All races/ethnicities,Female,6,4.4,"137,208"
HIV diagnoses,2018,New Mexico,35,13-24,All races/ethnicities,Female,0,0,"163,191"
HIV diagnoses,2018,New Mexico,35,55+,All races/ethnicities,Male,11,3.7,"297,194"
HIV diagnoses,2018,New Mexico,35,45-54,All races/ethnicities,Male,23,19.5,"117,802"
HIV diagnoses,2018,New Mexico,35,35-44,All races/ethnicities,Male,23,18.2,"126,375"
HIV diagnoses,2018,New Mexico,35,25-34,All races/ethnicities,Male,54,36.8,"146,715"
HIV diagnoses,2018,New Mexico,35,13-24,All races/ethnicities,Male,23,13.3,"173,147"
Gonorrhea,2021,New York,36,55+,All races/ethnicities,Female,194,5.8,"3,332,206"
Gonorrhea,2021,New York,36,45-54,All races/ethnicities,Female,372,29.8,"1,250,027"
Gonorrhea,2021,New York,36,35-44,All races/ethnicities,Female,"1,308",102.4,"1,277,742"
Gonorrhea,2021,New York,36,25-34,All races/ethnicities,Female,"4,484",319.1,"1,405,141"
Gonorrhea,2021,New York,36,13-24,All races/ethnicities,Female,"7,585",524.6,"1,445,907"
Gonorrhea,2021,New York,36,55+,All races/ethnicities,Male,"1,116",39.4,"2,833,513"
Gonorrhea,2021,New York,36,45-54,All races/ethnicities,Male,"2,024",167.2,"1,210,331"
Gonorrhea,2021,New York,36,35-44,All races/ethnicities,Male,"5,677",446.9,"1,270,335"
Gonorrhea,2021,New York,36,25-34,All races/ethnicities,Male,"13,069",933.3,"1,400,247"
Gonorrhea,2021,New York,36,13-24,All races/ethnicities,Male,"7,179",484.3,"1,482,426"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,55+,All races/ethnicities,Female,148,4.5,"3,317,895"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,45-54,All races/ethnicities,Female,389,30.2,"1,288,518"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,35-44,All races/ethnicities,Female,"1,241",96.3,"1,289,116"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,25-34,All races/ethnicities,Female,"4,513",308.9,"1,460,933"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,13-24,All races/ethnicities,Female,"8,296",561.3,"1,477,979"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,55+,All races/ethnicities,Male,"1,082",38.4,"2,816,280"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,45-54,All races/ethnicities,Male,"2,096",167.9,"1,248,553"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,35-44,All races/ethnicities,Male,"4,982",389.6,"1,278,896"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,25-34,All races/ethnicities,Male,"11,997",824.6,"1,454,946"
Gonorrhea,2020 (COVID-19 Pandemic),New York,36,13-24,All races/ethnicities,Male,"7,747",513.6,"1,508,280"
Gonorrhea,2019,New York,36,55+,All races/ethnicities,Female,102,3.2,"3,226,209"
Gonorrhea,2019,New York,36,45-54,All races/ethnicities,Female,259,20.4,"1,270,542"
Gonorrhea,2019,New York,36,35-44,All races/ethnicities,Female,955,77.6,"1,230,789"
Gonorrhea,2019,New York,36,25-34,All races/ethnicities,Female,"3,293",230.2,"1,430,708"
Gonorrhea,2019,New York,36,13-24,All races/ethnicities,Female,"6,712",469.3,"1,430,268"
Gonorrhea,2019,New York,36,55+,All races/ethnicities,Male,"1,097",41.1,"2,667,093"
Gonorrhea,2019,New York,36,45-54,All races/ethnicities,Male,"2,249",187.2,"1,201,262"
Gonorrhea,2019,New York,36,35-44,All races/ethnicities,Male,"5,396",450,"1,199,172"
Gonorrhea,2019,New York,36,25-34,All races/ethnicities,Male,"13,262",922.9,"1,436,943"
Gonorrhea,2019,New York,36,13-24,All races/ethnicities,Male,"7,520",515.4,"1,459,109"
Gonorrhea,2018,New York,36,55+,All races/ethnicities,Female,109,3.4,"3,185,902"
Gonorrhea,2018,New York,36,45-54,All races/ethnicities,Female,262,20,"1,311,554"
Gonorrhea,2018,New York,36,35-44,All races/ethnicities,Female,777,63.1,"1,230,768"
Gonorrhea,2018,New York,36,25-34,All races/ethnicities,Female,"2,972",207.1,"1,434,825"
Gonorrhea,2018,New York,36,13-24,All races/ethnicities,Female,"6,063",417.4,"1,452,682"
Gonorrhea,2018,New York,36,55+,All races/ethnicities,Male,820,31.2,"2,628,145"
Gonorrhea,2018,New York,36,45-54,All races/ethnicities,Male,"2,064",166.5,"1,239,552"
Gonorrhea,2018,New York,36,35-44,All races/ethnicities,Male,"4,769",398.7,"1,196,062"
Gonorrhea,2018,New York,36,25-34,All races/ethnicities,Male,"12,211",849.2,"1,437,975"
Gonorrhea,2018,New York,36,13-24,All races/ethnicities,Male,"7,144",481.2,"1,484,506"
Chlamydia,2021,New York,36,55+,All races/ethnicities,Female,644,19.3,"3,332,206"
Chlamydia,2021,New York,36,45-54,All races/ethnicities,Female,"1,159",92.7,"1,250,027"
Chlamydia,2021,New York,36,35-44,All races/ethnicities,Female,"3,762",294.4,"1,277,742"
Chlamydia,2021,New York,36,25-34,All races/ethnicities,Female,"16,067",1143.4,"1,405,141"
Chlamydia,2021,New York,36,13-24,All races/ethnicities,Female,"37,561",2597.7,"1,445,907"
Chlamydia,2021,New York,36,55+,All races/ethnicities,Male,"1,095",38.6,"2,833,513"
Chlamydia,2021,New York,36,45-54,All races/ethnicities,Male,"2,118",175,"1,210,331"
Chlamydia,2021,New York,36,35-44,All races/ethnicities,Male,"6,243",491.4,"1,270,335"
Chlamydia,2021,New York,36,25-34,All races/ethnicities,Male,"16,660",1189.8,"1,400,247"
Chlamydia,2021,New York,36,13-24,All races/ethnicities,Male,"16,256",1096.6,"1,482,426"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,55+,All races/ethnicities,Female,453,13.7,"3,317,895"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,45-54,All races/ethnicities,Female,"1,021",79.2,"1,288,518"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,35-44,All races/ethnicities,Female,"3,220",249.8,"1,289,116"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,25-34,All races/ethnicities,Female,"15,378",1052.6,"1,460,933"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,13-24,All races/ethnicities,Female,"38,457",2602,"1,477,979"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,55+,All races/ethnicities,Male,867,30.8,"2,816,280"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,45-54,All races/ethnicities,Male,"1,870",149.8,"1,248,553"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,35-44,All races/ethnicities,Male,"5,095",398.4,"1,278,896"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,25-34,All races/ethnicities,Male,"15,101",1037.9,"1,454,946"
Chlamydia,2020 (COVID-19 Pandemic),New York,36,13-24,All races/ethnicities,Male,"16,199",1074,"1,508,280"
Chlamydia,2019,New York,36,55+,All races/ethnicities,Female,639,19.8,"3,226,209"
Chlamydia,2019,New York,36,45-54,All races/ethnicities,Female,"1,347",106,"1,270,542"
Chlamydia,2019,New York,36,35-44,All races/ethnicities,Female,"4,068",330.5,"1,230,789"
Chlamydia,2019,New York,36,25-34,All races/ethnicities,Female,"17,977",1256.5,"1,430,708"
Chlamydia,2019,New York,36,13-24,All races/ethnicities,Female,"47,804",3342.3,"1,430,268"
Chlamydia,2019,New York,36,55+,All races/ethnicities,Male,"1,128",42.3,"2,667,093"
Chlamydia,2019,New York,36,45-54,All races/ethnicities,Male,"2,611",217.4,"1,201,262"
Chlamydia,2019,New York,36,35-44,All races/ethnicities,Male,"6,964",580.7,"1,199,172"
Chlamydia,2019,New York,36,25-34,All races/ethnicities,Male,"20,303",1412.9,"1,436,943"
Chlamydia,2019,New York,36,13-24,All races/ethnicities,Male,"21,458",1470.6,"1,459,109"
Chlamydia,2018,New York,36,55+,All races/ethnicities,Female,611,19.2,"3,185,902"
Chlamydia,2018,New York,36,45-54,All races/ethnicities,Female,"1,331",101.5,"1,311,554"
Chlamydia,2018,New York,36,35-44,All races/ethnicities,Female,"3,884",315.6,"1,230,768"
Chlamydia,2018,New York,36,25-34,All races/ethnicities,Female,"17,622",1228.2,"1,434,825"
Chlamydia,2018,New York,36,13-24,All races/ethnicities,Female,"46,811",3222.4,"1,452,682"
Chlamydia,2018,New York,36,55+,All races/ethnicities,Male,935,35.6,"2,628,145"
Chlamydia,2018,New York,36,45-54,All races/ethnicities,Male,"2,353",189.8,"1,239,552"
Chlamydia,2018,New York,36,35-44,All races/ethnicities,Male,"6,006",502.1,"1,196,062"
Chlamydia,2018,New York,36,25-34,All races/ethnicities,Male,"19,011",1322.1,"1,437,975"
Chlamydia,2018,New York,36,13-24,All races/ethnicities,Male,"20,831",1403.2,"1,484,506"
HIV diagnoses,2021,New York,36,55+,All races/ethnicities,Female,85,2.6,"3,332,206"
HIV diagnoses,2021,New York,36,45-54,All races/ethnicities,Female,88,7,"1,250,027"
HIV diagnoses,2021,New York,36,35-44,All races/ethnicities,Female,91,7.1,"1,277,742"
HIV diagnoses,2021,New York,36,25-34,All races/ethnicities,Female,77,5.5,"1,405,141"
HIV diagnoses,2021,New York,36,13-24,All races/ethnicities,Female,53,3.7,"1,445,907"
HIV diagnoses,2021,New York,36,55+,All races/ethnicities,Male,170,6,"2,833,513"
HIV diagnoses,2021,New York,36,45-54,All races/ethnicities,Male,189,15.6,"1,210,331"
HIV diagnoses,2021,New York,36,35-44,All races/ethnicities,Male,342,26.9,"1,270,335"
HIV diagnoses,2021,New York,36,25-34,All races/ethnicities,Male,661,47.2,"1,400,247"
HIV diagnoses,2021,New York,36,13-24,All races/ethnicities,Male,360,24.3,"1,482,426"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,55+,All races/ethnicities,Female,84,2.5,"3,317,895"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,45-54,All races/ethnicities,Female,59,4.6,"1,288,518"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,35-44,All races/ethnicities,Female,87,6.7,"1,289,116"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,25-34,All races/ethnicities,Female,107,7.3,"1,460,933"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,13-24,All races/ethnicities,Female,44,3,"1,477,979"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,55+,All races/ethnicities,Male,158,5.6,"2,816,280"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,45-54,All races/ethnicities,Male,195,15.6,"1,248,553"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,35-44,All races/ethnicities,Male,283,22.1,"1,278,896"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,25-34,All races/ethnicities,Male,651,44.7,"1,454,946"
HIV diagnoses,2020 (COVID-19 Pandemic),New York,36,13-24,All races/ethnicities,Male,307,20.4,"1,508,280"
HIV diagnoses,2019,New York,36,55+,All races/ethnicities,Female,100,3.1,"3,229,505"
HIV diagnoses,2019,New York,36,45-54,All races/ethnicities,Female,105,8.3,"1,270,757"
HIV diagnoses,2019,New York,36,35-44,All races/ethnicities,Female,106,8.6,"1,231,627"
HIV diagnoses,2019,New York,36,25-34,All races/ethnicities,Female,107,7.5,"1,431,667"
HIV diagnoses,2019,New York,36,13-24,All races/ethnicities,Female,57,4,"1,428,673"
HIV diagnoses,2019,New York,36,55+,All races/ethnicities,Male,173,6.5,"2,669,826"
HIV diagnoses,2019,New York,36,45-54,All races/ethnicities,Male,236,19.6,"1,201,267"
HIV diagnoses,2019,New York,36,35-44,All races/ethnicities,Male,337,28.1,"1,199,302"
HIV diagnoses,2019,New York,36,25-34,All races/ethnicities,Male,740,51.5,"1,438,250"
HIV diagnoses,2019,New York,36,13-24,All races/ethnicities,Male,384,26.4,"1,456,653"
HIV diagnoses,2018,New York,36,55+,All races/ethnicities,Female,110,3.5,"3,187,784"
HIV diagnoses,2018,New York,36,45-54,All races/ethnicities,Female,108,8.2,"1,311,777"
HIV diagnoses,2018,New York,36,35-44,All races/ethnicities,Female,113,9.2,"1,231,657"
HIV diagnoses,2018,New York,36,25-34,All races/ethnicities,Female,102,7.1,"1,436,566"
HIV diagnoses,2018,New York,36,13-24,All races/ethnicities,Female,62,4.3,"1,453,139"
HIV diagnoses,2018,New York,36,55+,All races/ethnicities,Male,205,7.8,"2,630,165"
HIV diagnoses,2018,New York,36,45-54,All races/ethnicities,Male,256,20.6,"1,239,787"
HIV diagnoses,2018,New York,36,35-44,All races/ethnicities,Male,360,30.1,"1,196,506"
HIV diagnoses,2018,New York,36,25-34,All races/ethnicities,Male,761,52.8,"1,440,041"
HIV diagnoses,2018,New York,36,13-24,All races/ethnicities,Male,377,25.4,"1,484,436"
Gonorrhea,2021,North Carolina,37,55+,All races/ethnicities,Female,87,5.1,"1,709,794"
Gonorrhea,2021,North Carolina,37,45-54,All races/ethnicities,Female,296,43.2,"685,796"
Gonorrhea,2021,North Carolina,37,35-44,All races/ethnicities,Female,"1,205",177.4,"679,330"
Gonorrhea,2021,North Carolina,37,25-34,All races/ethnicities,Female,"4,312",606.1,"711,469"
Gonorrhea,2021,North Carolina,37,13-24,All races/ethnicities,Female,"7,384",900.4,"820,099"
Gonorrhea,2021,North Carolina,37,55+,All races/ethnicities,Male,551,37.8,"1,457,591"
Gonorrhea,2021,North Carolina,37,45-54,All races/ethnicities,Male,892,134.8,"661,758"
Gonorrhea,2021,North Carolina,37,35-44,All races/ethnicities,Male,"2,134",326.9,"652,880"
Gonorrhea,2021,North Carolina,37,25-34,All races/ethnicities,Male,"5,819",829.4,"701,620"
Gonorrhea,2021,North Carolina,37,13-24,All races/ethnicities,Male,"5,914",687.1,"860,704"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,55+,All races/ethnicities,Female,88,5.2,"1,678,537"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,45-54,All races/ethnicities,Female,269,39.1,"687,331"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,35-44,All races/ethnicities,Female,"1,234",184.2,"670,034"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,25-34,All races/ethnicities,Female,"4,229",601.5,"703,091"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,13-24,All races/ethnicities,Female,"7,509",927.7,"809,383"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,55+,All races/ethnicities,Male,545,38.1,"1,430,160"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,45-54,All races/ethnicities,Male,886,133,"665,974"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,35-44,All races/ethnicities,Male,"2,058",319.2,"644,718"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,25-34,All races/ethnicities,Male,"5,786",834.1,"693,705"
Gonorrhea,2020 (COVID-19 Pandemic),North Carolina,37,13-24,All races/ethnicities,Male,"5,641",662.9,"850,911"
Gonorrhea,2019,North Carolina,37,55+,All races/ethnicities,Female,84,4.9,"1,699,745"
Gonorrhea,2019,North Carolina,37,45-54,All races/ethnicities,Female,278,39.7,"699,397"
Gonorrhea,2019,North Carolina,37,35-44,All races/ethnicities,Female,"1,030",153.9,"669,132"
Gonorrhea,2019,North Carolina,37,25-34,All races/ethnicities,Female,"3,966",558.3,"710,328"
Gonorrhea,2019,North Carolina,37,13-24,All races/ethnicities,Female,"7,061",874.9,"807,060"
Gonorrhea,2019,North Carolina,37,55+,All races/ethnicities,Male,481,34,"1,413,474"
Gonorrhea,2019,North Carolina,37,45-54,All races/ethnicities,Male,884,133,"664,670"
Gonorrhea,2019,North Carolina,37,35-44,All races/ethnicities,Male,"1,951",307.6,"634,295"
Gonorrhea,2019,North Carolina,37,25-34,All races/ethnicities,Male,"5,280",748.1,"705,741"
Gonorrhea,2019,North Carolina,37,13-24,All races/ethnicities,Male,"5,349",631.8,"846,692"
Gonorrhea,2018,North Carolina,37,55+,All races/ethnicities,Female,80,4.8,"1,655,105"
Gonorrhea,2018,North Carolina,37,45-54,All races/ethnicities,Female,251,35.6,"705,506"
Gonorrhea,2018,North Carolina,37,35-44,All races/ethnicities,Female,905,136.3,"664,178"
Gonorrhea,2018,North Carolina,37,25-34,All races/ethnicities,Female,"3,745",535.8,"698,949"
