"Date Printed: Friday, January 14, 2022 2:53:39 PM"
Title: Congenital Syphilis | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Congenital Syphilis","2017","Colorado","08","All age groups","All races/ethnicities","Both sexes","4","6.2","NA"
"Congenital Syphilis","2016","Colorado","08","All age groups","All races/ethnicities","Both sexes","4","6.0","NA"
"Congenital Syphilis","2015","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2014","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2013","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2012","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2011","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2010","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2009","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
"Congenital Syphilis","2008","Colorado","08","All age groups","All races/ethnicities","Both sexes","0","0.0","NA"
